                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6362,                 2.1133,                 1.3097,                0.36987,                0.56818,                 0.4602,                0.26895,                 1.7034,                 2.9789,                 1.2701,                0.00042,                0.00042,                0.00042
                      2,                 1.4773,                 1.1487,                 1.2447,                0.25141,                0.42748,                0.17095,                0.08749,                 1.6839,                 5.6012,                 1.4736,             0.00085149,             0.00085149,             0.00085149
                      3,                 1.5987,                 1.1732,                 1.3476,                0.58193,                0.52273,                0.46666,                0.24249,                 1.7111,                 2.4286,                  1.662,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.4955,                 1.1092,                 1.2799,                0.64745,                0.58446,                0.58777,                0.23238,                 1.9552,                 2.0577,                 1.7904,              0.0016883,              0.0016883,              0.0016883
                      5,                 1.6188,                 1.1534,                 1.3607,                0.06074,                0.54545,                0.04399,                0.01907,                 2.1824,                 31.544,                 2.0598,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5608,                 1.0833,                 1.3173,                 0.6442,                0.61364,                0.59362,                0.30599,                 1.8115,                 1.5998,                  1.684,               0.001901,               0.001901,               0.001901
                      7,                  1.566,                  1.044,                 1.3252,                0.81271,                0.78905,                0.80061,                0.36799,                 1.8831,                 1.4417,                 1.6601,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6144,                 1.0729,                 1.3759,                0.78755,                0.70455,                0.78697,                0.39788,                 1.8687,                 1.1545,                 1.6117,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4455,                 0.9169,                 1.2733,                0.76475,                0.81277,                0.84185,                 0.4461,                 1.5738,                 1.0709,                 1.4839,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3658,                0.86136,                 1.2389,                0.89492,                0.77273,                0.85862,                0.42987,                 1.7323,                0.96306,                 1.6194,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4068,                0.84674,                 1.2309,                0.76835,                0.59091,                0.67961,                0.38025,                 1.9266,                 1.3047,                 1.6156,               0.001802,               0.001802,               0.001802
