                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6994,                 2.1241,                 1.2545,                0.69509,                0.72537,                 0.7278,                0.39897,                 1.6616,                 2.3856,                 1.2371,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.6049,                 1.3188,                 1.1962,                0.73311,                0.72727,                0.74437,                0.35623,                 1.5644,                 2.0571,                 1.2435,              0.0012921,              0.0012921,              0.0012921
                      3,                 1.6071,                  1.327,                 1.2628,                0.85167,                0.52201,                0.67714,                 0.2705,                 2.0105,                 1.5333,                 1.4907,              0.0019062,              0.0019062,              0.0019062
                      4,                 1.6348,                 1.1739,                 1.2256,                0.54416,                0.59091,                0.54568,                0.21037,                  2.072,                 2.0745,                 1.5593,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5327,                 1.0771,                 1.2259,                0.54087,                0.40175,                0.42812,                0.19566,                 2.2977,                 1.9618,                 1.7072,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5245,                 1.0781,                  1.251,                0.49415,                0.46637,                0.44116,                0.16967,                 1.9548,                 1.9806,                 1.5388,               0.001802,               0.001802,               0.001802
                      7,                 1.5149,                 1.0899,                 1.2149,                0.75879,                0.71509,                0.71934,                0.31314,                 1.9337,                 1.3696,                 1.4827,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4085,                  1.005,                 1.2055,                0.91839,                0.76742,                0.83127,                0.39242,                  1.733,                 1.0841,                 1.3517,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4497,                0.96168,                 1.2039,                0.80262,                0.83187,                0.80861,                0.35466,                 1.7527,                 1.2374,                 1.4151,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4305,                0.95796,                 1.1877,                0.80242,                0.81818,                0.83909,                0.39992,                 1.7986,                 1.0097,                 1.5044,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3956,                0.91392,                 1.2009,                0.86612,                0.73529,                0.81564,                0.39617,                 1.8075,                 1.0495,                 1.4676,               0.001604,               0.001604,               0.001604
                     12,                 1.3337,                0.83191,                 1.1354,                0.85431,                0.77273,                0.84244,                0.43505,                 1.6645,                0.97094,                 1.3447,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3221,                0.84524,                 1.1463,                0.92286,                0.81573,                 0.9089,                0.44767,                 1.6677,                0.89657,                 1.3937,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2801,                 0.8242,                 1.1061,                0.89921,                0.77273,                0.88145,                0.43798,                  1.636,                0.93869,                 1.3667,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3022,                0.81371,                 1.1414,                0.84005,                   0.75,                 0.8459,                0.40208,                 1.7536,                 1.0425,                 1.5219,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.1587,                0.76888,                 1.0732,                0.86054,                0.86364,                0.88451,                0.49642,                 1.5818,                0.96457,                 1.3662,               0.001406,               0.001406,               0.001406
                     17,                 1.1555,                0.75906,                 1.0674,                0.87204,                0.81818,                0.90008,                0.48766,                  1.651,                0.86373,                 1.3943,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1663,                0.76416,                 1.0644,                0.90393,                0.85553,                0.91103,                0.54759,                 1.5231,                0.83277,                 1.2722,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.112,                0.72593,                 1.0535,                0.95149,                0.86364,                0.93383,                0.52777,                 1.5607,                0.80048,                 1.4087,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0847,                0.69751,                 1.0516,                0.96791,                0.90909,                0.94286,                0.51336,                  1.615,                0.73788,                 1.3736,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0931,                0.68665,                 1.0531,                0.90569,                0.90909,                0.92105,                0.50699,                  1.548,                0.79581,                 1.3153,               0.001208,               0.001208,               0.001208
                     22,                 1.0224,                0.65226,                 1.0314,                0.91707,                0.86364,                0.92763,                0.49478,                 1.5688,                0.80103,                  1.374,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.0743,                0.64852,                 1.0527,                0.90191,                0.88636,                0.92528,                 0.4975,                 1.6161,                0.77536,                 1.3934,              0.0011288,              0.0011288,              0.0011288
                     24,                  1.058,                 0.6736,                 1.0444,                0.88056,                0.84091,                0.89702,                0.49297,                 1.6057,                0.76273,                 1.4018,              0.0010892,              0.0010892,              0.0010892
                     25,                  1.033,                0.67238,                 1.0339,                0.83853,                0.84091,                0.91174,                0.48988,                 1.6132,                0.79478,                 1.4001,              0.0010496,              0.0010496,              0.0010496
                     26,                0.95263,                 0.6208,                 1.0149,                0.83716,                0.86364,                 0.8793,                 0.4906,                 1.6199,                0.85462,                 1.4037,                0.00101,                0.00101,                0.00101
                     27,                0.96416,                0.61538,                0.99253,                0.86114,                0.84571,                0.89232,                0.48281,                 1.5937,                0.80662,                  1.411,              0.0009704,              0.0009704,              0.0009704
